Nome: FORTALEZA
Codigo Estacao: 82397
Latitude: -3.81527777
Longitude: -38.53777777
Altitude: 29.89
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2024-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
2020-01-01;25.6;30.8;26.4;22.9;84;95;1.4;
2020-01-02;8.4;28.3;26;24.3;93;90;1.2;
2020-01-03;2.3;32;28.2;25.3;76;70;1.5;
2020-01-04;0;32;28.1;25.9;77;80;1.7;
2020-01-05;null;null;null;null;null;84;null;
2020-01-06;13.2;32;28.1;25.3;80;86;1.6;
2020-01-07;0;31.6;28.3;25.3;79;78;1.6;
2020-01-08;.6;29.6;26.7;24.9;88;88;.8;
2020-01-09;62.4;31;26.7;24.1;89;83;.4;
2020-01-10;11;31.1;26.6;23.9;84;96;1.6;
2020-01-11;0;31.8;28;25.3;77;78;3.4;
2020-01-12;null;null;null;null;null;85;null;
2020-01-13;0;32;28.1;24.5;78;79;1.8;
2020-01-14;1;30.4;27.4;25.1;85;82;1.4;
2020-01-15;19.8;30.6;27.3;25.1;85;90;.4;
2020-01-16;.8;32;27.8;24.9;82;86;2.2;
2020-01-17;1.3;31.4;28.1;25.5;80;80;2.6;
2020-01-18;.5;30.2;27.7;25.1;81;81;2.9;
2020-01-19;null;null;null;null;null;87;null;
2020-01-20;0;31.6;27.9;24.5;76;78;1.6;
2020-01-21;0;32.2;28;24.2;74;77;1.4;
2020-01-22;0;31;28.6;26.4;78;80;2.2;
2020-01-23;.5;32.4;29.1;26.9;77;76;3.8;
2020-01-24;0;32.7;29;26.6;70;70;3.3;
2020-01-25;0;32.6;29;26.3;77;76;2.6;
2020-01-26;null;null;null;null;null;85;null;
2020-01-27;12.5;31.7;28;24.9;82;86;1;
2020-01-28;14.4;31.1;26.7;23.9;84;89;.7;
2020-01-29;0;32.7;28.4;24.7;76;79;2.5;
2020-01-30;3.4;31.8;28.2;25.9;80;84;1.8;
2020-01-31;8.5;28.2;25.1;23.9;96;85;.4;
2020-02-01;60.4;32;27.1;23.4;84;97;1.2;
2020-02-02;null;null;null;null;null;87;null;
2020-02-03;3.7;32;28.3;25.3;79;77;1.5;
2020-02-04;4.2;31.4;26.7;24.9;93;87;1.4;
2020-02-05;46;28.2;25.8;23.4;89;90;.8;
2020-02-06;58;28.2;25.4;23.2;90;94;.7;
2020-02-07;.3;31.4;27.3;23.7;78;82;1.3;
2020-02-08;5;31.8;27.4;24.5;84;83;1.4;
2020-02-09;null;null;null;null;null;88;null;
2020-02-10;5.8;31.8;28.3;25.2;80;74;2;
2020-02-11;1;31.4;27.9;25.1;79;87;1.1;
2020-02-12;0;32.4;28.5;25.3;76;81;2.6;
2020-02-13;.7;28.5;26.1;24.7;94;82;.2;
2020-02-14;16.7;31.3;27.6;23.9;82;87;1.6;
2020-02-15;6.2;30.7;27.4;24.6;87;86;1.5;
2020-02-16;null;null;null;null;null;95;null;
2020-02-17;5.2;30;26.1;23.9;89;97;2.3;
2020-02-18;27.3;31;27.4;24.3;90;80;1;
2020-02-19;17.4;31;27.3;24.7;86;94;3.1;
2020-02-20;43.6;30.5;26.5;23.1;87;88;1.6;
2020-02-21;0;30.4;27.1;24.3;83;84;1.3;
2020-02-22;5;27.6;26;23.7;88;92;.8;
2020-02-23;null;null;null;null;null;95;null;
2020-02-24;9.4;31.4;27.8;24.9;86;96;1.7;
2020-02-25;11.7;31.3;27.2;24.7;90;88;1;
2020-02-26;16.4;31;27.5;24.3;86;90;1.5;
2020-02-27;.2;32.4;28.5;25.5;80;81;2.7;
2020-02-28;0;31.9;28.3;25.3;78;81;.8;
2020-02-29;1.2;32.3;28;24.5;81;82;.8;
2020-03-01;null;null;null;null;null;null;null;
2020-03-02;85.4;31.7;27;23.7;88;null;.2;
2020-03-03;.2;32.9;28;24.6;82;null;.7;
2020-03-04;0;31.3;27.5;24.5;86;null;.3;
2020-03-05;16.4;32.6;28;24.9;84;null;1.3;
2020-03-06;.3;33.2;28.9;25.1;78;null;1.3;
2020-03-07;19.2;29;26.3;25.1;90;null;1.9;
2020-03-08;null;null;null;null;null;null;null;
2020-03-09;22.8;31.6;27;23.8;88;null;.4;
2020-03-10;5.1;31.4;28.1;25.1;84;null;.8;
2020-03-11;2.3;32.1;27.4;24.7;84;null;1.2;
2020-03-12;24.7;29.5;25.7;24.5;94;null;2.2;
2020-03-13;58.6;27.6;25;23.2;94;null;.2;
2020-03-14;9;30.6;25.9;23.5;90;null;1.7;
2020-03-15;null;null;null;null;null;null;null;
2020-03-16;10;32;26.9;24.3;86;null;1.6;
2020-03-17;1;31.5;27.1;24.4;86;null;.2;
2020-03-18;4.4;32.5;28.1;24.8;82;null;1;
2020-03-19;0;32.5;28.3;24.8;83;null;1;
2020-03-20;6.8;32.4;28.3;25.1;80;null;.8;
2020-03-21;2.6;32.2;28.2;25.1;83;null;.7;
2020-03-22;null;null;null;null;null;null;null;
2020-03-23;0;32.8;28.4;24.4;81;null;.7;
2020-03-24;.3;32.3;28.5;25.8;82;null;.7;
2020-03-25;.8;32;27.3;24.9;87;87;1.9;
2020-03-26;0;31.2;27.2;24.7;88;null;1;
2020-03-27;1.2;32.4;28.3;24.7;79;null;1.6;
2020-03-28;7.8;32.6;28;25.1;84;null;1.8;
2020-03-29;null;null;null;null;null;null;null;
2020-03-30;3.8;29.2;26.3;24.9;95;null;.9;
2020-03-31;23.5;29.6;27.2;24.7;92;null;.9;
2020-04-01;19;30.8;27.5;24.3;82;null;1.7;
2020-04-02;.8;33;28.5;25.5;85;null;2.4;
2020-04-03;.5;33.2;29;25.8;87;null;2.1;
2020-04-04;24.4;28.9;26.3;24.7;96;null;1.5;
2020-04-05;null;null;null;null;null;null;null;
2020-04-06;9;32.6;28.3;24.5;86;null;1.2;
2020-04-07;2.3;32.8;28.7;25.7;84;null;1.4;
2020-04-08;0;33.3;28.9;25.6;76;null;1.8;
2020-04-09;30.2;30.5;28.8;25.7;92;null;1.5;
2020-04-10;45.4;32;28;24.9;84;null;.9;
2020-04-11;7.7;32.2;27.8;24.8;90;null;.9;
2020-04-12;null;null;null;null;null;null;null;
2020-04-13;0;30.8;27.3;25;89;null;.8;
2020-04-14;3.2;32.9;28.1;23.9;81;null;.8;
2020-04-15;5.2;31.7;26.6;24.3;88;null;1.5;
2020-04-16;1.2;31.6;27.4;24.7;93;null;1.6;
2020-04-17;85.7;29.9;25.6;23.3;91;97;.8;
2020-04-18;2.2;31.8;27.2;24.1;88;null;1.2;
2020-04-19;null;null;null;null;null;null;null;
2020-04-20;0;32.4;27.7;24.7;68;null;1.4;
2020-04-21;43.6;27.7;25.5;23.5;97;null;.8;
2020-04-22;8.4;31.6;26.9;23.9;91;null;1.1;
2020-04-23;4.1;32.3;27.1;23.5;86;null;.8;
2020-04-24;29.4;30.7;26;23.3;91;null;1.3;
2020-04-25;21.8;29.5;25.6;23.3;97;null;.7;
2020-04-26;null;null;null;null;null;null;null;
2020-04-27;97.2;27.4;25.8;23.2;94;null;1;
2020-04-28;10;31.5;27.3;23.1;87;null;1.5;
2020-04-29;9;31.8;27.1;24.7;84;null;3.1;
2020-04-30;13.2;31.6;27.4;24.1;82;null;1.8;
2020-05-01;8.2;30.7;27.2;24.5;87;null;1.5;
2020-05-02;.5;32.5;28.5;24.7;82;null;1.9;
2020-05-03;null;null;null;null;null;null;null;
2020-05-04;0;31.3;27;24.7;81;null;2.2;
2020-05-05;.4;32.4;27.9;24.8;80;null;3;
2020-05-06;0;32.4;28.1;24.7;77;null;3;
2020-05-07;0;32.4;27.7;24.3;83;null;1.7;
2020-05-08;.5;32.6;27.9;24.7;81;null;1.3;
2020-05-09;0;31.4;27.6;24;85;null;2.4;
2020-05-10;null;null;null;null;null;null;null;
2020-05-11;.8;32.2;27.9;24.7;79;null;1.4;
2020-05-12;0;32;27.5;24.4;76;null;2.1;
2020-05-13;0;32;27.9;24.3;83;null;2.7;
2020-05-14;10.2;31.6;27;24.4;86;null;1.8;
2020-05-15;12.4;27.8;25.5;24.3;96;96;.8;
2020-05-16;40;26.4;24.9;23.9;97;null;.8;
2020-05-17;null;null;null;null;null;null;null;
2020-05-18;.6;31.7;27.4;23.9;85;null;1.5;
2020-05-19;.5;32;28.1;24.7;82;null;1.9;
2020-05-20;1.2;31.4;27.2;25.3;86;null;2.3;
2020-05-21;65.2;30.6;26.7;24.3;88;null;1.6;
2020-05-22;7.2;30.8;26.7;24.5;85;null;2.1;
2020-05-23;53;31.5;26.9;23.4;87;null;1.8;
2020-05-24;null;null;null;null;null;null;null;
2020-05-25;0;32.2;27.5;24.5;83;null;.8;
2020-05-26;0;32.3;27.6;23.9;86;null;.2;
2020-05-27;0;32.2;27.6;23.8;82;null;.8;
2020-05-28;0;32.3;28;24.3;84;null;1.3;
2020-05-29;25.8;31.7;26.9;23.5;84;null;2.4;
2020-05-30;7.6;30.4;27.1;24.1;82;null;1.1;
2020-05-31;null;null;null;null;null;null;null;
2020-06-01;8;31.6;27.1;23.7;88;null;1.5;
2020-06-02;0;31.8;27;24.1;85;null;1.5;
2020-06-03;0;31.6;27.8;24.3;82;null;3;
2020-06-04;.8;31.7;27.6;24.7;88;null;2;
2020-06-05;5.4;31.6;27.6;23.9;82;null;3.2;
2020-06-06;0;30.8;27;24.3;84;null;1.6;
2020-06-07;null;null;null;null;null;null;null;
2020-06-08;4.2;31.7;27;23.3;82;null;1.5;
2020-06-09;0;30.5;26.5;23.7;90;null;1.7;
2020-06-10;7.5;30.3;26.5;23.3;85;null;2;
2020-06-11;8.8;27.7;25.1;23.6;95;null;1.6;
2020-06-12;4.2;29.8;25.1;23;90;null;1.4;
2020-06-13;2.5;31;27.1;23.8;81;null;1.7;
2020-06-14;null;null;null;null;null;null;null;
2020-06-15;0;31.4;27.2;23.6;81;null;1.4;
2020-06-16;0;31.1;27.3;24.5;81;null;2.4;
2020-06-17;0;30.2;25.9;23.7;90;null;2.5;
2020-06-18;22;30.4;26.5;23.1;84;null;2.3;
2020-06-19;.2;31;27;24.3;85;null;2.4;
2020-06-20;0;30.9;27.2;23.9;78;null;3.9;
2020-06-21;null;null;null;null;null;null;null;
2020-06-22;0;30.6;26.6;22.7;76;null;2.1;
2020-06-23;0;30.3;27.1;24.3;70;null;2.9;
2020-06-24;0;30;26.1;24;76;null;3.1;
2020-06-25;0;30.1;26.5;23.9;82;null;1.7;
2020-06-26;0;30.1;26.6;24.2;79;82;1.9;
2020-06-27;2.1;31;26.9;23.9;79;null;2.2;
2020-06-28;null;null;null;null;null;null;null;
2020-06-29;0;30.3;27;25.1;79;null;3.1;
2020-06-30;8.4;31.3;26.7;23.9;77;null;1.8;
2020-07-01;0;30.6;26.7;23.3;78;null;2.2;
2020-07-02;0;30.5;26.6;23.6;80;null;2.7;
2020-07-03;.7;29.2;26.1;23.5;87;null;1.8;
2020-07-04;1.6;31.5;26.6;23.7;78;null;1.9;
2020-07-05;null;null;null;null;null;null;null;
2020-07-06;28;27.6;23.6;21.9;92;null;1.6;
2020-07-07;19.8;30.3;25.6;21.8;80;null;1.7;
2020-07-08;0;30.4;26.5;23.5;78;null;1.8;
2020-07-09;0;30;26.2;23.1;82;null;2.2;
2020-07-10;.2;30.6;26.5;23.1;80;null;1.8;
2020-07-11;0;31.9;27.3;24.1;72;75;3.1;
2020-07-12;null;null;null;null;null;null;null;
2020-07-13;0;30.8;25.7;22.5;74;null;1.8;
2020-07-14;0;31.6;26.1;22.1;72;null;1.9;
2020-07-15;0;31.3;26.5;22.3;78;null;2.4;
2020-07-16;0;31.6;26.5;23.5;76;null;3.7;
2020-07-17;.4;31.6;26.5;23.5;74;null;1.7;
2020-07-18;0;30.2;26.9;24.3;null;null;3.7;
2020-07-19;null;null;null;null;null;null;null;
2020-07-20;0;29.6;25.3;22.7;82;null;2.5;
2020-07-21;10.1;30.2;26.2;22.8;78;null;4.4;
2020-07-22;0;30.9;26.1;21.4;73;null;2.4;
2020-07-23;0;30.8;27.2;24.9;74;null;2.9;
2020-07-24;0;31.3;26.8;24.1;74;null;1.9;
2020-07-25;0;32.6;26.7;22.9;71;null;1.7;
2020-07-26;null;null;null;null;null;null;null;
2020-07-27;0;32;26.4;21.9;70;null;4.1;
2020-07-28;0;30.9;26.4;22.5;72;null;4.8;
2020-07-29;0;30.8;26.6;22.7;74;null;3.1;
2020-07-30;0;31.4;26.5;23.3;73;null;3.9;
2020-07-31;0;31;26.4;22.6;67;null;3.7;
2020-08-01;0;31.6;26.9;23.3;69;null;4;
2020-08-02;null;null;null;null;null;null;null;
2020-08-03;0;32.2;26.9;23.5;74;null;3.5;
2020-08-04;0;32.5;26.6;23.1;70;null;1.8;
2020-08-05;0;31.4;26.2;21.8;68;null;4.1;
2020-08-06;0;32.2;26.6;21.9;66;null;4.1;
2020-08-07;0;31.8;26;21.3;71;null;2.3;
2020-08-08;0;32.2;26.4;22.1;70;null;3.3;
2020-08-09;null;null;null;null;null;null;null;
2020-08-10;0;30.8;26.6;23.9;78;null;2.5;
2020-08-11;0;30.9;26.5;22.9;72;null;2.9;
2020-08-12;0;32;27.3;24.2;66;null;3.7;
2020-08-13;0;31.2;26.8;23.6;76;null;4.4;
2020-08-14;0;30.4;26.3;23.4;76;null;2.7;
2020-08-15;0;31;26.6;23.1;75;null;3.1;
2020-08-16;null;null;null;null;null;null;null;
2020-08-17;0;33;27;22.2;70;null;3.1;
2020-08-18;0;32;26.8;22.2;70;null;4.8;
2020-08-19;0;31.4;27.1;24.9;74;null;3.8;
2020-08-20;0;31.4;26.7;23.7;77;null;1.5;
2020-08-21;0;31.3;27.4;24.4;78;null;3.1;
2020-08-22;.4;30.6;26.9;24.9;null;null;3.8;
2020-08-23;null;null;null;null;null;85;null;
2020-08-24;0;31;26.5;23.1;74;null;3.2;
2020-08-25;0;31;26.7;23.3;72;null;2.5;
2020-08-26;0;31.2;27.3;25;79;null;4;
2020-08-27;0;30.8;27.1;24.8;70;null;4.6;
2020-08-28;0;30.6;26.6;23.4;72;null;2.6;
2020-08-29;0;31.4;27.2;23.3;73;null;4.3;
2020-08-30;null;null;null;null;null;null;null;
2020-08-31;0;33.2;27.3;22.9;71;null;4.1;
2020-09-01;0;32;27.1;23.3;71;null;2.8;
2020-09-02;0;31.3;27.2;24.6;72;null;3.5;
2020-09-03;0;31.8;27;23.6;70;null;3.4;
2020-09-04;0;31.4;27;23.7;72;null;3.8;
2020-09-05;0;32;27;23.1;65;null;3.2;
2020-09-06;null;null;null;null;null;null;null;
2020-09-07;0;32.3;27.2;23.2;6;null;3.8;
2020-09-08;1.8;31.6;26.7;23.8;76;null;3;
2020-09-09;0;32.5;27.4;23.9;73;null;3.9;
2020-09-10;0;32.3;27.6;25.1;71;null;4.5;
2020-09-11;0;31.6;27.2;24.9;74;null;3.7;
2020-09-12;0;31.8;27.2;24.3;68;null;2.8;
2020-09-13;null;null;null;null;null;null;null;
2020-09-14;0;31.8;27.1;23.7;69;null;3.2;
2020-09-15;0;31.6;26.9;22.9;69;null;3.5;
2020-09-16;0;31.8;27.6;24.7;71;null;3.4;
2020-09-17;0;33.1;27.7;24.5;68;null;4.1;
2020-09-18;0;30.9;27;23.5;73;null;3.6;
2020-09-19;2.4;31;26.5;24.3;79;null;2.4;
2020-09-20;null;null;null;null;null;null;null;
2020-09-21;0;31.4;27.4;25.2;72;null;4.1;
2020-09-22;0;31.4;27.2;23.5;70;null;3.2;
2020-09-23;0;31.1;27.4;25.1;70;null;3.6;
2020-09-24;0;31;26.9;24.9;72;null;3.2;
2020-09-25;0;31.4;27.4;24.8;72;null;3.8;
2020-09-26;1.1;31.7;26.9;24.3;72;null;3;
2020-09-27;null;null;null;null;null;null;null;
2020-09-28;0;31.7;27.7;25.3;75;72;2.8;
2020-09-29;0;32.2;28.1;25.5;66;null;4.2;
2020-09-30;0;32.1;27.7;24.5;69;null;3.2;
2020-10-01;0;32.2;27.5;23.9;69;null;3.5;
2020-10-02;0;32.8;28;24;66;null;3;
2020-10-03;0;32.7;27.9;25.3;68;null;3.4;
2020-10-04;null;null;null;null;null;null;null;
2020-10-05;0;31.9;27.8;25.3;72;null;3;
2020-10-06;0;32.2;27.6;24.9;70;null;3.6;
2020-10-07;0;31.5;27.7;24.9;74;null;3.6;
2020-10-08;0;31.8;27.5;24.2;72;null;3.4;
2020-10-09;0;31.8;27.5;24.9;74;null;2.4;
2020-10-10;0;32.3;27.6;22.9;72;null;2.7;
2020-10-11;null;null;null;null;null;null;null;
2020-10-12;0;32.4;27.2;22.3;76;null;2.6;
2020-10-13;0;31.8;27.9;24.7;69;null;4.5;
2020-10-14;.3;32.3;28.2;25.2;70;null;3.5;
2020-10-15;.9;32.4;28.2;25.2;74;66;3.8;
2020-10-16;0;32.4;28.3;25.9;70;null;3.6;
2020-10-17;0;32.5;28;24.7;72;null;3.6;
2020-10-18;null;null;null;null;null;null;null;
2020-10-19;.6;32.6;27.9;25.3;70;null;4.7;
2020-10-20;0;31.8;28.1;25.7;69;null;4.9;
2020-10-21;0;32.3;28.2;24.9;73;null;4.5;
2020-10-22;7;30.7;27.2;25.2;82;null;1.9;
2020-10-23;2.3;32.3;27.6;24.9;80;null;3.3;
2020-10-24;4.2;32.2;28;25.1;79;null;3;
2020-10-25;null;null;null;null;null;null;null;
2020-10-26;0;31.8;27.9;25.9;77;null;2.6;
2020-10-27;0;32.4;27.7;23.8;74;null;2.9;
2020-10-28;0;32;28.1;25.9;72;null;3.7;
2020-10-29;0;32.1;28;25.3;72;null;3.2;
2020-10-30;0;32.4;27.9;24.4;70;null;2.1;
2020-10-31;.6;32.5;28;25.1;75;null;2.9;
2020-11-01;null;null;null;null;null;null;null;
2020-11-02;0;32.6;28.6;26.3;74;null;2.2;
2020-11-03;0;31.2;28;26.2;81;null;2.6;
2020-11-04;0;32.5;28.5;26.7;77;null;3.5;
2020-11-05;0;32.3;28.5;26.1;74;null;2.9;
2020-11-06;0;32.7;28.7;25.9;71;null;3.2;
2020-11-07;1.2;32.3;28.5;25.8;71;null;4.2;
2020-11-08;null;null;null;null;null;null;null;
2020-11-09;0;33.2;28.7;26.1;76;null;3.2;
2020-11-10;.2;33.2;28.1;24.9;79;null;2.8;
2020-11-11;8.6;32.1;27.1;23.6;79;null;1.9;
2020-11-12;.5;31.9;27.4;24.5;77;null;2.8;
2020-11-13;0;32.4;28.3;24.9;72;null;2.9;
2020-11-14;.6;32.8;28.7;25.9;75;null;3.6;
2020-11-15;null;null;null;null;null;null;null;
2020-11-16;0;32.4;28.5;25.7;77;null;2.6;
2020-11-17;0;32.2;28.6;26.5;77;null;2.9;
2020-11-18;0;32.5;28.6;25.9;74;67;3.9;
2020-11-19;.4;32.5;28.5;25.7;76;null;3;
2020-11-20;0;32;28.1;25.5;76;null;2.2;
2020-11-21;0;32.3;28.5;26.5;73;null;3.2;
2020-11-22;null;null;null;null;null;null;null;
2020-11-23;.6;31.5;27.6;25.3;77;null;1.9;
2020-11-24;0;32.2;28.1;24.9;74;null;3.7;
2020-11-25;3.4;31.8;27.4;24.4;null;null;3.3;
2020-11-26;.4;32.4;28.3;24.6;70;null;3.1;
2020-11-27;0;32.3;28.7;26.2;72;null;3.8;
2020-11-28;.2;31.9;28.5;25.9;69;null;4.3;
2020-11-29;null;null;null;null;null;null;null;
2020-11-30;0;32.1;28.2;25.4;75;null;3.1;
2020-12-01;0;32.1;28.5;25.3;70;55;3.1;
2020-12-02;null;null;null;null;null;80;null;
2020-12-03;null;null;null;null;null;null;null;
2020-12-04;null;null;null;null;null;null;null;
2020-12-05;null;null;null;null;null;null;null;
2020-12-06;null;null;null;null;null;null;null;
2020-12-07;null;null;null;null;null;null;null;
2020-12-08;null;null;null;null;null;null;null;
2020-12-09;null;null;null;null;null;null;null;
2020-12-10;null;null;null;null;null;null;null;
2020-12-11;null;null;null;null;null;null;null;
2020-12-12;null;null;null;null;null;null;null;
2020-12-13;null;null;null;null;null;null;null;
2020-12-14;null;null;null;null;null;null;null;
2020-12-15;null;null;null;null;null;null;null;
2020-12-16;null;null;null;null;null;null;null;
2020-12-17;null;null;null;null;null;null;null;
2020-12-18;null;null;null;null;null;null;null;
2020-12-19;null;null;null;null;null;null;null;
2020-12-20;null;null;null;null;null;null;null;
2020-12-21;null;null;null;null;null;null;null;
2020-12-22;null;null;null;null;null;null;null;
2020-12-23;null;null;null;null;null;null;null;
2020-12-24;null;null;null;null;null;null;null;
2020-12-25;null;null;null;null;null;null;null;
2020-12-26;null;null;null;null;null;null;null;
2020-12-27;null;null;null;null;null;null;null;
2020-12-28;null;null;null;null;null;null;null;
2020-12-29;null;null;null;null;null;null;null;
2020-12-30;null;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;null;
2021-01-01;0;33;28.9;26.5;71;null;2.5;
2021-01-02;.7;32.6;28.1;25.8;79;null;3.6;
2021-01-03;null;null;null;null;null;null;null;
2021-01-04;2.8;32.2;28;25.9;79;null;2.2;
2021-01-05;13.2;32;27.4;24.5;80;null;2;
2021-01-06;0;32.4;28.3;26.1;76;null;2.7;
2021-01-07;0;32.6;28.7;26.9;75;null;3.4;
2021-01-08;0;32.3;28.6;26.7;74;null;3.5;
2021-01-09;0;32.5;28.5;26.5;75;null;3.3;
2021-01-10;0;null;null;25.9;null;null;2.1;
2021-01-11;0;32.6;28.2;24.5;70;null;2.9;
2021-01-12;.3;32.4;28.3;25.8;73;null;2;
2021-01-13;0;32;28.3;25.9;72;null;2.5;
2021-01-14;1.1;31.8;27.8;24.9;76;null;2.4;
2021-01-15;0;32.6;28.5;25.9;72;null;3.1;
2021-01-16;0;32.6;28.6;26.2;75;null;3.6;
2021-01-17;null;null;null;null;null;null;null;
2021-01-18;3.2;31.5;27.6;24.9;79;null;2.5;
2021-01-19;2.1;27.9;25.3;23.4;96;null;1.3;
2021-01-20;27.8;28.2;25.5;23.3;93;null;2.1;
2021-01-21;4.3;30;26.9;23.6;85;null;1.6;
2021-01-22;4.8;31.6;27.7;24.6;77;null;2.5;
2021-01-23;.6;31.6;28.1;25.3;78;null;3.7;
2021-01-24;null;null;null;null;null;null;null;
2021-01-25;19.6;29.8;26.9;24.8;88;null;1.9;
2021-01-26;6.1;31.8;27.7;25.3;83;null;1.8;
2021-01-27;.2;32.3;28.2;25.1;80;null;2.1;
2021-01-28;7.8;31.5;27.6;24.9;82;null;2.7;
2021-01-29;0;30.2;27.8;26.3;null;null;2.6;
2021-01-30;19.3;31.5;27.1;24.1;84;87;2.1;
2021-01-31;null;null;null;null;null;null;null;
2021-02-01;.6;31;27.6;25.5;78;null;3.6;
2021-02-02;0;31.5;28;26.1;76;null;3.2;
2021-02-03;0;32;27.9;24.7;75;null;3.3;
2021-02-04;.2;31.6;28.1;25.7;78;null;3.4;
2021-02-05;0;31.3;27.6;23.9;76;null;2.6;
2021-02-06;0;32.2;28.3;25.5;76;null;3.1;
2021-02-07;null;null;null;null;null;null;null;
2021-02-08;9.4;32;28.1;24.6;79;null;2.8;
2021-02-09;0;31.7;28.2;26.3;82;null;2.6;
2021-02-10;1.4;31.8;28.3;25.9;81;null;2.3;
2021-02-11;.6;32.5;28.9;26.3;79;null;5;
2021-02-12;11.8;31.4;27.6;24.9;85;null;2.1;
2021-02-13;.3;31.9;28.4;26.3;80;null;2.6;
2021-02-14;null;null;null;null;null;null;null;
2021-02-15;0;32.2;28.4;25.9;81;null;2.1;
2021-02-16;1.6;28.8;25.8;24.3;94;null;1.1;
2021-02-17;4.4;31;26.7;23.4;88;null;.4;
2021-02-18;0;32;27.7;24.9;78;null;1.9;
2021-02-19;0;32.3;27.9;24.9;78;null;2;
2021-02-20;7.6;28.3;25.9;24.3;95;null;1.1;
2021-02-21;null;null;null;null;null;null;null;
2021-02-22;0;31.8;28.2;25.9;81;null;2.7;
2021-02-23;1.9;31.3;27.7;24.7;83;null;2.2;
2021-02-24;4;31.3;27.7;24.6;82;null;2.7;
2021-02-25;0;32.2;28.5;25.7;80;null;2.3;
2021-02-26;0;30.8;28;25.9;80;77;2.3;
2021-02-27;1.7;31.2;27.1;23.9;84;null;1.5;
2021-02-28;null;null;null;null;null;null;null;
2021-03-01;24.1;31;26.5;23.3;86;null;1;
2021-03-02;1.4;31.3;27.5;23.4;84;null;2;
2021-03-03;2.9;31.7;27.6;24.1;82;null;1.6;
2021-03-04;0;32.6;27.8;25.9;79;null;3;
2021-03-05;4;30.8;27.6;25;82;null;2.4;
2021-03-06;.5;32;28.3;25.4;80;null;2.3;
2021-03-07;null;null;null;null;null;null;null;
2021-03-08;23.6;30.2;26.7;23.9;90;null;.7;
2021-03-09;15.4;31.6;27.9;24.7;81;null;1.7;
2021-03-10;10.9;31.5;27.4;24.6;82;null;2.6;
2021-03-11;0;31.9;28;24.9;80;null;1.4;
2021-03-12;1;31.4;27.9;24.9;81;null;1.2;
2021-03-13;3.8;31.4;27.8;25.1;80;null;2.6;
2021-03-14;null;null;null;null;null;null;null;
2021-03-15;10.6;30.8;26.3;23.3;86;null;.8;
2021-03-16;2.4;31;26.5;23.9;90;null;2;
2021-03-17;16.4;28;25.3;23.9;94;null;0;
2021-03-18;9;31.2;27.2;24.1;88;null;1.2;
2021-03-19;.4;31.8;27.9;24.2;78;null;2.3;
2021-03-20;2;32;27.8;24.5;79;null;2.7;
2021-03-21;null;null;null;null;null;null;null;
2021-03-22;1.9;28.5;26;23.9;91;null;1.9;
2021-03-23;31.5;29.9;26;23.7;94;null;.7;
2021-03-24;15.4;29.9;26;23.9;92;null;1.3;
2021-03-25;39.2;28;25.5;23.9;95;null;1.3;
2021-03-26;105.1;27.1;23.4;20.7;93;null;.8;
2021-03-27;4.4;27;24.2;20.8;96;null;.3;
2021-03-28;null;null;null;null;null;null;null;
2021-03-29;0;31.6;27.2;22.9;85;null;.6;
2021-03-30;12.6;31.9;27.4;24.5;86;92;1.9;
2021-03-31;9.8;29.1;26.5;24.3;94;92;.8;
2021-04-01;10.8;31.3;27.4;23.9;82;null;3;
2021-04-02;0;32;27.8;23.2;80;null;2.2;
2021-04-03;2;31.5;28;25.3;85;null;1.9;
2021-04-04;null;null;null;null;null;null;null;
2021-04-05;0;32;28;25;81;null;1.4;
2021-04-06;0;32.2;27.9;23.8;80;null;2.7;
2021-04-07;0;33;28.7;25.6;76;null;3.2;
2021-04-08;0;32.2;28.7;26;74;null;3.7;
2021-04-09;0;32.8;28.4;24.5;76;null;3;
2021-04-10;0;32.9;28.8;25.5;75;null;3.6;
2021-04-11;null;null;null;null;null;null;null;
2021-04-12;1.8;32.2;27.6;24.1;84;null;2.5;
2021-04-13;38.8;31.7;27.3;24.4;89;null;1.5;
2021-04-14;1.2;32;28;25.4;84;null;1.2;
2021-04-15;21.4;31;27.3;24.9;85;null;2.4;
2021-04-16;.5;31.9;27.7;23.8;78;null;2.8;
2021-04-17;null;null;null;null;null;null;null;
2021-04-18;null;null;null;null;null;null;null;
2021-04-19;0;31.8;26.9;24.1;89;null;1.3;
2021-04-20;5.3;32;27.1;23.1;84;null;.8;
2021-04-21;3.9;31.6;26.9;23.5;84;null;0;
2021-04-22;.3;32;27.5;24.1;88;88;0;
2021-04-23;18.4;31.3;26.9;23.9;90;null;.9;
2021-04-24;null;null;null;null;null;null;null;
2021-04-25;null;null;null;null;null;null;null;
2021-04-26;0;31.8;27.7;23.4;80;null;1.9;
2021-04-27;3.2;31.6;27.6;24.6;81;null;2.1;
